ID,parking,renovation,price,time_metro,total_area,house,rooms,combined_bath,separated_bath,passenger_elevator,freight_elevator,windows_to_the_courtyard,windows_to_the_street,windows_facing_the_street_and_yard,loggia,balcony_new,children_allowed,pets_allowed,distance_to_moscow
272197456,2,1,400000.0,7.0,170.0,1,4.0,3,0,1,0,0,0,1,0,0,0,1,2.3289952741740314
273614615,0,1,225000.0,7.5,58.0,0,2.0,2,0,1,1,0,0,1,0,0,0,0,1.0701772948406483
273643908,0,1,350000.0,7.5,213.0,1,5.0,2,0,1,0,0,0,1,0,0,1,1,1.0701772948406483
274475342,2,1,250000.0,7.0,98.0,1,3.0,1,1,1,0,1,0,0,0,0,1,1,2.3289952741740314
273973191,1,1,130000.0,7.0,120.0,1,3.0,1,0,1,0,0,1,0,0,0,0,1,2.3289952741740314
272900409,1,1,210000.0,7.5,90.0,1,4.0,1,1,1,0,0,0,1,0,1,1,0,1.0701772948406483
271036964,2,1,290000.0,7.0,170.0,1,4.0,3,0,1,0,0,0,1,0,0,1,0,2.3289952741740314
273999490,0,1,100000.0,7.0,80.0,0,3.0,1,0,1,0,0,0,1,0,3,0,0,2.3289952741740314
274017037,0,2,200000.0,7.0,100.0,0,3.0,2,0,1,0,1,0,0,0,0,1,1,2.3289952741740314
274995950,0,1,120000.0,7.5,30.0,1,2.0,1,0,0,0,0,1,0,0,0,1,1,1.0701772948406483
272911145,0,1,180000.0,4.0,150.0,0,5.0,2,0,1,0,0,0,1,0,1,0,0,0.6650538700327336
274748017,0,1,190000.0,7.0,201.0,1,5.0,3,0,1,0,0,0,1,0,0,1,1,1.4291109667222728
273941734,0,1,205000.0,7.5,64.0,1,2.0,2,0,0,0,0,1,0,0,0,1,1,1.0701772948406483
274493570,2,1,230000.0,7.0,112.0,1,3.0,2,0,1,0,0,0,1,0,1,1,0,1.4291109667222728
274391259,1,1,190000.0,7.5,186.0,1,5.0,2,0,0,0,0,0,1,0,0,1,1,1.0701772948406483
272945376,0,1,200000.0,7.5,100.0,1,3.0,2,0,1,0,0,0,1,0,0,1,1,1.0701772948406483
272612966,0,1,200000.0,7.5,150.0,1,5.0,2,0,1,0,1,0,0,0,1,0,0,1.0701772948406483
